,word,score
0,saaes,12592
0,saaee,9992
0,saaey,9780
0,saaea,9138
0,saaed,9127
0,saaas,11380
0,saaae,8780
0,saaay,8568
0,saaaa,7926
0,saaad,7915
0,saais,11109
0,saaie,8509
0,saaiy,8297
0,saaia,7655
0,saaid,7644
0,saats,11100
0,saate,8500
0,saaty,8288
0,saata,7646
0,saatd,7635
0,saans,10946
0,saane,8346
0,saany,8134
0,saana,7492
0,saand,7481
0,sares,12572
0,saree,9972
0,sarey,9760
0,sarea,9118
0,sared,9107
0,saras,11360
0,sarae,8760
0,saray,8548
0,saraa,7906
0,sarad,7895
0,saris,11089
0,sarie,8489
0,sariy,8277
0,saria,7635
0,sarid,7624
0,sarts,11080
0,sarte,8480
0,sarty,8268
0,sarta,7626
0,sartd,7615
0,sarns,10926
0,sarne,8326
0,sarny,8114
0,sarna,7472
0,sarnd,7461
0,saies,12391
0,saiee,9791
0,saiey,9579
0,saiea,8937
0,saied,8926
0,saias,11179
0,saiae,8579
0,saiay,8367
0,saiaa,7725
0,saiad,7714
0,saiis,10908
0,saiie,8308
0,saiiy,8096
0,saiia,7454
0,saiid,7443
0,saits,10899
0,saite,8299
0,saity,8087
0,saita,7445
0,saitd,7434
0,sains,10745
0,saine,8145
0,sainy,7933
0,saina,7291
0,saind,7280
0,sanes,12337
0,sanee,9737
0,saney,9525
0,sanea,8883
0,saned,8872
0,sanas,11125
0,sanae,8525
0,sanay,8313
0,sanaa,7671
0,sanad,7660
0,sanis,10854
0,sanie,8254
0,saniy,8042
0,sania,7400
0,sanid,7389
0,sants,10845
0,sante,8245
0,santy,8033
0,santa,7391
0,santd,7380
0,sanns,10691
0,sanne,8091
0,sanny,7879
0,sanna,7237
0,sannd,7226
0,saoes,12331
0,saoee,9731
0,saoey,9519
0,saoea,8877
0,saoed,8866
0,saoas,11119
0,saoae,8519
0,saoay,8307
0,saoaa,7665
0,saoad,7654
0,saois,10848
0,saoie,8248
0,saoiy,8036
0,saoia,7394
0,saoid,7383
0,saots,10839
0,saote,8239
0,saoty,8027
0,saota,7385
0,saotd,7374
0,saons,10685
0,saone,8085
0,saony,7873
0,saona,7231
0,saond,7220
0,soaes,12324
0,soaee,9724
0,soaey,9512
0,soaea,8870
0,soaed,8859
0,soaas,11112
0,soaae,8512
0,soaay,8300
0,soaaa,7658
0,soaad,7647
0,soais,10841
0,soaie,8241
0,soaiy,8029
0,soaia,7387
0,soaid,7376
0,soats,10832
0,soate,8232
0,soaty,8020
0,soata,7378
0,soatd,7367
0,soans,10678
0,soane,8078
0,soany,7866
0,soana,7224
0,soand,7213
0,sores,12304
0,soree,9704
0,sorey,9492
0,sorea,8850
0,sored,8839
0,soras,11092
0,sorae,8492
0,soray,8280
0,soraa,7638
0,sorad,7627
0,soris,10821
0,sorie,8221
0,soriy,8009
0,soria,7367
0,sorid,7356
0,sorts,10812
0,sorte,8212
0,sorty,8000
0,sorta,7358
0,sortd,7347
0,sorns,10658
0,sorne,8058
0,sorny,7846
0,sorna,7204
0,sornd,7193
0,soies,12123
0,soiee,9523
0,soiey,9311
0,soiea,8669
0,soied,8658
0,soias,10911
0,soiae,8311
0,soiay,8099
0,soiaa,7457
0,soiad,7446
0,soiis,10640
0,soiie,8040
0,soiiy,7828
0,soiia,7186
0,soiid,7175
0,soits,10631
0,soite,8031
0,soity,7819
0,soita,7177
0,soitd,7166
0,soins,10477
0,soine,7877
0,soiny,7665
0,soina,7023
0,soind,7012
0,sones,12069
0,sonee,9469
0,soney,9257
0,sonea,8615
0,soned,8604
0,sonas,10857
0,sonae,8257
0,sonay,8045
0,sonaa,7403
0,sonad,7392
0,sonis,10586
0,sonie,7986
0,soniy,7774
0,sonia,7132
0,sonid,7121
0,sonts,10577
0,sonte,7977
0,sonty,7765
0,sonta,7123
0,sontd,7112
0,sonns,10423
0,sonne,7823
0,sonny,7611
0,sonna,6969
0,sonnd,6958
0,sooes,12063
0,sooee,9463
0,sooey,9251
0,sooea,8609
0,sooed,8598
0,sooas,10851
0,sooae,8251
0,sooay,8039
0,sooaa,7397
0,sooad,7386
0,soois,10580
0,sooie,7980
0,sooiy,7768
0,sooia,7126
0,sooid,7115
0,soots,10571
0,soote,7971
0,sooty,7759
0,soota,7117
0,sootd,7106
0,soons,10417
0,soone,7817
0,soony,7605
0,soona,6963
0,soond,6952
0,seaes,11767
0,seaee,9167
0,seaey,8955
0,seaea,8313
0,seaed,8302
0,seaas,10555
0,seaae,7955
0,seaay,7743
0,seaaa,7101
0,seaad,7090
0,seais,10284
0,seaie,7684
0,seaiy,7472
0,seaia,6830
0,seaid,6819
0,seats,10275
0,seate,7675
0,seaty,7463
0,seata,6821
0,seatd,6810
0,seans,10121
0,seane,7521
0,seany,7309
0,seana,6667
0,seand,6656
0,seres,11747
0,seree,9147
0,serey,8935
0,serea,8293
0,sered,8282
0,seras,10535
0,serae,7935
0,seray,7723
0,seraa,7081
0,serad,7070
0,seris,10264
0,serie,7664
0,seriy,7452
0,seria,6810
0,serid,6799
0,serts,10255
0,serte,7655
0,serty,7443
0,serta,6801
0,sertd,6790
0,serns,10101
0,serne,7501
0,serny,7289
0,serna,6647
0,sernd,6636
0,seies,11566
0,seiee,8966
0,seiey,8754
0,seiea,8112
0,seied,8101
0,seias,10354
0,seiae,7754
0,seiay,7542
0,seiaa,6900
0,seiad,6889
0,seiis,10083
0,seiie,7483
0,seiiy,7271
0,seiia,6629
0,seiid,6618
0,seits,10074
0,seite,7474
0,seity,7262
0,seita,6620
0,seitd,6609
0,seins,9920
0,seine,7320
0,seiny,7108
0,seina,6466
0,seind,6455
0,senes,11512
0,senee,8912
0,seney,8700
0,senea,8058
0,sened,8047
0,senas,10300
0,senae,7700
0,senay,7488
0,senaa,6846
0,senad,6835
0,senis,10029
0,senie,7429
0,seniy,7217
0,senia,6575
0,senid,6564
0,sents,10020
0,sente,7420
0,senty,7208
0,senta,6566
0,sentd,6555
0,senns,9866
0,senne,7266
0,senny,7054
0,senna,6412
0,sennd,6401
0,seoes,11506
0,seoee,8906
0,seoey,8694
0,seoea,8052
0,seoed,8041
0,seoas,10294
0,seoae,7694
0,seoay,7482
0,seoaa,6840
0,seoad,6829
0,seois,10023
0,seoie,7423
0,seoiy,7211
0,seoia,6569
0,seoid,6558
0,seots,10014
0,seote,7414
0,seoty,7202
0,seota,6560
0,seotd,6549
0,seons,9860
0,seone,7260
0,seony,7048
0,seona,6406
0,seond,6395
0,siaes,11508
0,siaee,8908
0,siaey,8696
0,siaea,8054
0,siaed,8043
0,siaas,10296
0,siaae,7696
0,siaay,7484
0,siaaa,6842
0,siaad,6831
0,siais,10025
0,siaie,7425
0,siaiy,7213
0,siaia,6571
0,siaid,6560
0,siats,10016
0,siate,7416
0,siaty,7204
0,siata,6562
0,siatd,6551
0,sians,9862
0,siane,7262
0,siany,7050
0,siana,6408
0,siand,6397
0,sires,11488
0,siree,8888
0,sirey,8676
0,sirea,8034
0,sired,8023
0,siras,10276
0,sirae,7676
0,siray,7464
0,siraa,6822
0,sirad,6811
0,siris,10005
0,sirie,7405
0,siriy,7193
0,siria,6551
0,sirid,6540
0,sirts,9996
0,sirte,7396
0,sirty,7184
0,sirta,6542
0,sirtd,6531
0,sirns,9842
0,sirne,7242
0,sirny,7030
0,sirna,6388
0,sirnd,6377
0,siies,11307
0,siiee,8707
0,siiey,8495
0,siiea,7853
0,siied,7842
0,siias,10095
0,siiae,7495
0,siiay,7283
0,siiaa,6641
0,siiad,6630
0,siiis,9824
0,siiie,7224
0,siiiy,7012
0,siiia,6370
0,siiid,6359
0,siits,9815
0,siite,7215
0,siity,7003
0,siita,6361
0,siitd,6350
0,siins,9661
0,siine,7061
0,siiny,6849
0,siina,6207
0,siind,6196
0,sines,11253
0,sinee,8653
0,siney,8441
0,sinea,7799
0,sined,7788
0,sinas,10041
0,sinae,7441
0,sinay,7229
0,sinaa,6587
0,sinad,6576
0,sinis,9770
0,sinie,7170
0,siniy,6958
0,sinia,6316
0,sinid,6305
0,sints,9761
0,sinte,7161
0,sinty,6949
0,sinta,6307
0,sintd,6296
0,sinns,9607
0,sinne,7007
0,sinny,6795
0,sinna,6153
0,sinnd,6142
0,sioes,11247
0,sioee,8647
0,sioey,8435
0,sioea,7793
0,sioed,7782
0,sioas,10035
0,sioae,7435
0,sioay,7223
0,sioaa,6581
0,sioad,6570
0,siois,9764
0,sioie,7164
0,sioiy,6952
0,sioia,6310
0,sioid,6299
0,siots,9755
0,siote,7155
0,sioty,6943
0,siota,6301
0,siotd,6290
0,sions,9601
0,sione,7001
0,siony,6789
0,siona,6147
0,siond,6136
0,suaes,11278
0,suaee,8678
0,suaey,8466
0,suaea,7824
0,suaed,7813
0,suaas,10066
0,suaae,7466
0,suaay,7254
0,suaaa,6612
0,suaad,6601
0,suais,9795
0,suaie,7195
0,suaiy,6983
0,suaia,6341
0,suaid,6330
0,suats,9786
0,suate,7186
0,suaty,6974
0,suata,6332
0,suatd,6321
0,suans,9632
0,suane,7032
0,suany,6820
0,suana,6178
0,suand,6167
0,sures,11258
0,suree,8658
0,surey,8446
0,surea,7804
0,sured,7793
0,suras,10046
0,surae,7446
0,suray,7234
0,suraa,6592
0,surad,6581
0,suris,9775
0,surie,7175
0,suriy,6963
0,suria,6321
0,surid,6310
0,surts,9766
0,surte,7166
0,surty,6954
0,surta,6312
0,surtd,6301
0,surns,9612
0,surne,7012
0,surny,6800
0,surna,6158
0,surnd,6147
0,suies,11077
0,suiee,8477
0,suiey,8265
0,suiea,7623
0,suied,7612
0,suias,9865
0,suiae,7265
0,suiay,7053
0,suiaa,6411
0,suiad,6400
0,suiis,9594
0,suiie,6994
0,suiiy,6782
0,suiia,6140
0,suiid,6129
0,suits,9585
0,suite,6985
0,suity,6773
0,suita,6131
0,suitd,6120
0,suins,9431
0,suine,6831
0,suiny,6619
0,suina,5977
0,suind,5966
0,sunes,11023
0,sunee,8423
0,suney,8211
0,sunea,7569
0,suned,7558
0,sunas,9811
0,sunae,7211
0,sunay,6999
0,sunaa,6357
0,sunad,6346
0,sunis,9540
0,sunie,6940
0,suniy,6728
0,sunia,6086
0,sunid,6075
0,sunts,9531
0,sunte,6931
0,sunty,6719
0,sunta,6077
0,suntd,6066
0,sunns,9377
0,sunne,6777
0,sunny,6565
0,sunna,5923
0,sunnd,5912
0,suoes,11017
0,suoee,8417
0,suoey,8205
0,suoea,7563
0,suoed,7552
0,suoas,9805
0,suoae,7205
0,suoay,6993
0,suoaa,6351
0,suoad,6340
0,suois,9534
0,suoie,6934
0,suoiy,6722
0,suoia,6080
0,suoid,6069
0,suots,9525
0,suote,6925
0,suoty,6713
0,suota,6071
0,suotd,6060
0,suons,9371
0,suone,6771
0,suony,6559
0,suona,5917
0,suond,5906
0,paaes,12056
0,paaee,9456
0,paaey,9244
0,paaea,8602
0,paaed,8591
0,paaas,10844
0,paaae,8244
0,paaay,8032
0,paaaa,7390
0,paaad,7379
0,paais,10573
0,paaie,7973
0,paaiy,7761
0,paaia,7119
0,paaid,7108
0,paats,10564
0,paate,7964
0,paaty,7752
0,paata,7110
0,paatd,7099
0,paans,10410
0,paane,7810
0,paany,7598
0,paana,6956
0,paand,6945
0,pares,12036
0,paree,9436
0,parey,9224
0,parea,8582
0,pared,8571
0,paras,10824
0,parae,8224
0,paray,8012
0,paraa,7370
0,parad,7359
0,paris,10553
0,parie,7953
0,pariy,7741
0,paria,7099
0,parid,7088
0,parts,10544
0,parte,7944
0,party,7732
0,parta,7090
0,partd,7079
0,parns,10390
0,parne,7790
0,parny,7578
0,parna,6936
0,parnd,6925
0,paies,11855
0,paiee,9255
0,paiey,9043
0,paiea,8401
0,paied,8390
0,paias,10643
0,paiae,8043
0,paiay,7831
0,paiaa,7189
0,paiad,7178
0,paiis,10372
0,paiie,7772
0,paiiy,7560
0,paiia,6918
0,paiid,6907
0,paits,10363
0,paite,7763
0,paity,7551
0,paita,6909
0,paitd,6898
0,pains,10209
0,paine,7609
0,painy,7397
0,paina,6755
0,paind,6744
0,panes,11801
0,panee,9201
0,paney,8989
0,panea,8347
0,paned,8336
0,panas,10589
0,panae,7989
0,panay,7777
0,panaa,7135
0,panad,7124
0,panis,10318
0,panie,7718
0,paniy,7506
0,pania,6864
0,panid,6853
0,pants,10309
0,pante,7709
0,panty,7497
0,panta,6855
0,pantd,6844
0,panns,10155
0,panne,7555
0,panny,7343
0,panna,6701
0,pannd,6690
0,paoes,11795
0,paoee,9195
0,paoey,8983
0,paoea,8341
0,paoed,8330
0,paoas,10583
0,paoae,7983
0,paoay,7771
0,paoaa,7129
0,paoad,7118
0,paois,10312
0,paoie,7712
0,paoiy,7500
0,paoia,6858
0,paoid,6847
0,paots,10303
0,paote,7703
0,paoty,7491
0,paota,6849
0,paotd,6838
0,paons,10149
0,paone,7549
0,paony,7337
0,paona,6695
0,paond,6684
0,poaes,11788
0,poaee,9188
0,poaey,8976
0,poaea,8334
0,poaed,8323
0,poaas,10576
0,poaae,7976
0,poaay,7764
0,poaaa,7122
0,poaad,7111
0,poais,10305
0,poaie,7705
0,poaiy,7493
0,poaia,6851
0,poaid,6840
0,poats,10296
0,poate,7696
0,poaty,7484
0,poata,6842
0,poatd,6831
0,poans,10142
0,poane,7542
0,poany,7330
0,poana,6688
0,poand,6677
0,pores,11768
0,poree,9168
0,porey,8956
0,porea,8314
0,pored,8303
0,poras,10556
0,porae,7956
0,poray,7744
0,poraa,7102
0,porad,7091
0,poris,10285
0,porie,7685
0,poriy,7473
0,poria,6831
0,porid,6820
0,ports,10276
0,porte,7676
0,porty,7464
0,porta,6822
0,portd,6811
0,porns,10122
0,porne,7522
0,porny,7310
0,porna,6668
0,pornd,6657
0,poies,11587
0,poiee,8987
0,poiey,8775
0,poiea,8133
0,poied,8122
0,poias,10375
0,poiae,7775
0,poiay,7563
0,poiaa,6921
0,poiad,6910
0,poiis,10104
0,poiie,7504
0,poiiy,7292
0,poiia,6650
0,poiid,6639
0,poits,10095
0,poite,7495
0,poity,7283
0,poita,6641
0,poitd,6630
0,poins,9941
0,poine,7341
0,poiny,7129
0,poina,6487
0,poind,6476
0,pones,11533
0,ponee,8933
0,poney,8721
0,ponea,8079
0,poned,8068
0,ponas,10321
0,ponae,7721
0,ponay,7509
0,ponaa,6867
0,ponad,6856
0,ponis,10050
0,ponie,7450
0,poniy,7238
0,ponia,6596
0,ponid,6585
0,ponts,10041
0,ponte,7441
0,ponty,7229
0,ponta,6587
0,pontd,6576
0,ponns,9887
0,ponne,7287
0,ponny,7075
0,ponna,6433
0,ponnd,6422
0,pooes,11527
0,pooee,8927
0,pooey,8715
0,pooea,8073
0,pooed,8062
0,pooas,10315
0,pooae,7715
0,pooay,7503
0,pooaa,6861
0,pooad,6850
0,poois,10044
0,pooie,7444
0,pooiy,7232
0,pooia,6590
0,pooid,6579
0,poots,10035
0,poote,7435
0,pooty,7223
0,poota,6581
0,pootd,6570
0,poons,9881
0,poone,7281
0,poony,7069
0,poona,6427
0,poond,6416
0,peaes,11231
0,peaee,8631
0,peaey,8419
0,peaea,7777
0,peaed,7766
0,peaas,10019
0,peaae,7419
0,peaay,7207
0,peaaa,6565
0,peaad,6554
0,peais,9748
0,peaie,7148
0,peaiy,6936
0,peaia,6294
0,peaid,6283
0,peats,9739
0,peate,7139
0,peaty,6927
0,peata,6285
0,peatd,6274
0,peans,9585
0,peane,6985
0,peany,6773
0,peana,6131
0,peand,6120
0,peres,11211
0,peree,8611
0,perey,8399
0,perea,7757
0,pered,7746
0,peras,9999
0,perae,7399
0,peray,7187
0,peraa,6545
0,perad,6534
0,peris,9728
0,perie,7128
0,periy,6916
0,peria,6274
0,perid,6263
0,perts,9719
0,perte,7119
0,perty,6907
0,perta,6265
0,pertd,6254
0,perns,9565
0,perne,6965
0,perny,6753
0,perna,6111
0,pernd,6100
0,peies,11030
0,peiee,8430
0,peiey,8218
0,peiea,7576
0,peied,7565
0,peias,9818
0,peiae,7218
0,peiay,7006
0,peiaa,6364
0,peiad,6353
0,peiis,9547
0,peiie,6947
0,peiiy,6735
0,peiia,6093
0,peiid,6082
0,peits,9538
0,peite,6938
0,peity,6726
0,peita,6084
0,peitd,6073
0,peins,9384
0,peine,6784
0,peiny,6572
0,peina,5930
0,peind,5919
0,penes,10976
0,penee,8376
0,peney,8164
0,penea,7522
0,pened,7511
0,penas,9764
0,penae,7164
0,penay,6952
0,penaa,6310
0,penad,6299
0,penis,9493
0,penie,6893
0,peniy,6681
0,penia,6039
0,penid,6028
0,pents,9484
0,pente,6884
0,penty,6672
0,penta,6030
0,pentd,6019
0,penns,9330
0,penne,6730
0,penny,6518
0,penna,5876
0,pennd,5865
0,peoes,10970
0,peoee,8370
0,peoey,8158
0,peoea,7516
0,peoed,7505
0,peoas,9758
0,peoae,7158
0,peoay,6946
0,peoaa,6304
0,peoad,6293
0,peois,9487
0,peoie,6887
0,peoiy,6675
0,peoia,6033
0,peoid,6022
0,peots,9478
0,peote,6878
0,peoty,6666
0,peota,6024
0,peotd,6013
0,peons,9324
0,peone,6724
0,peony,6512
0,peona,5870
0,peond,5859
0,piaes,10972
0,piaee,8372
0,piaey,8160
0,piaea,7518
0,piaed,7507
0,piaas,9760
0,piaae,7160
0,piaay,6948
0,piaaa,6306
0,piaad,6295
0,piais,9489
0,piaie,6889
0,piaiy,6677
0,piaia,6035
0,piaid,6024
0,piats,9480
0,piate,6880
0,piaty,6668
0,piata,6026
0,piatd,6015
0,pians,9326
0,piane,6726
0,piany,6514
0,piana,5872
0,piand,5861
0,pires,10952
0,piree,8352
0,pirey,8140
0,pirea,7498
0,pired,7487
0,piras,9740
0,pirae,7140
0,piray,6928
0,piraa,6286
0,pirad,6275
0,piris,9469
0,pirie,6869
